Id,Fit. type,Fit. params,Reg. type,MSE train,MSE test,Runtime
GLSMC0,MM,LR2,-,1.300104549906233,1.2971786041886681,0s
GLSMC1,MM,LR2,-,1.2969312555571786,1.2933862164618875,1s
GLSMC2,MM,GLM2,-,2.7393154638001267,2.7991925033037295,5s
GLSMC3,MM,LR4,-,0.7849122974398575,0.7568299375501448,1s
GLSMC4,MM,LR4,-,0.7818444769448739,0.7556555482735612,1s
GLSMC5,MM,GLM4,-,1.5116661540549146,1.4948420343019626,6s
JLSMC000,MM,LR2,LR2,3.632440921413367,3.7774856686603795,1mn55s
JLSMC001,MM,LR2,LR4,2.228460417372059,2.3430597311268677,1mn53s
JLSMC002,MM,LR2,NN1,3.5351154771454176,3.6671706838220057,1mn59s
JLSMC003,MM,LR2,NN3,3.555382915632442,3.6830075022799744,1mn54s
JLSMC010,MM,LR2,LR2,3.656138191179343,3.8017345948595844,1mn51s
JLSMC011,MM,LR2,LR4,2.229473377832162,2.3434539855108123,2mn5s
JLSMC012,MM,LR2,NN1,3.535430287130759,3.6682270513874515,1mn59s
JLSMC013,MM,LR2,NN3,3.5555157207726205,3.6828961761555514,1mn56s
JLSMC100,MM,LR4,LR2,4.529530731743652,4.694775488501507,3mn35s
JLSMC101,MM,LR4,LR4,2.000252585749103,2.1010748407520476,3mn36s
JLSMC102,MM,LR4,NN1,1.9439584981621116,2.0072603256219987,3mn47s
JLSMC103,MM,LR4,NN3,2.1615710445636145,2.2319284275527935,3mn53s
JLSMC110,MM,LR4,LR2,5.115569565203133,5.27664103472187,3mn57s
JLSMC111,MM,LR4,LR4,2.2457872553720546,2.3289934049781964,4mn10s
JLSMC112,MM,LR4,NN1,1.9455212039457743,2.0120045525219497,3mn44s
JLSMC113,MM,LR4,NN3,2.162320805351224,2.2327320195323654,4mn10s
JLSMC200,MM,GLM2,LR2,3.5770740970837664,3.789326041198408,1mn3s
JLSMC201,MM,GLM2,LR4,4.1858691409642885,4.661733856779732,59s
JLSMC202,MM,GLM2,NN1,3.658677414643446,3.8296287917210154,59s
JLSMC203,MM,GLM2,NN3,3.5820580607729915,3.7182120074502367,1mn2s
JLSMC210,MM,GLM2,LR2,3.575837930787745,3.788322809511067,60s
JLSMC211,MM,GLM2,LR4,4.1845779552500515,4.660704762698111,1mn2s
JLSMC212,MM,GLM2,NN1,3.659151750588243,3.8302244443712214,1mn2s
JLSMC213,MM,GLM2,NN3,3.582288970977199,3.718531555860397,1mn2s
JLSMC300,MM,GLM4,LR2,2.1820207668864757,2.2857998529162007,6mn9s
JLSMC301,MM,GLM4,LR4,1.4024383693328555,1.4941259749099254,6mn28s
JLSMC302,MM,GLM4,NN1,1.22714561418658,1.2660020832916168,6mn35s
JLSMC303,MM,GLM4,NN3,1.193935023690406,1.228355785163008,5mn33s
JLSMC310,MM,GLM4,LR2,2.183155010929977,2.283795796806689,5mn36s
JLSMC311,MM,GLM4,LR4,1.3988510252144792,1.4885211856059168,5mn25s
JLSMC312,MM,GLM4,NN1,1.2278409916680801,1.267358382223074,5mn29s
JLSMC313,MM,GLM4,NN3,1.1943348846387707,1.2290864815287024,5mn59s
JPMMC000,PM,1k,LR2,3.5701615133327906,3.628889477119301,29s
JPMMC001,PM,1k,LR4,3.2269047572682723,3.303029009787303,28s
JPMMC002,PM,1k,NN1,2.1788313616704023,2.2162768879847414,29s
JPMMC003,PM,1k,NN3,1.9793590337043954,2.013278179176624,28s
JPMMC010,PM,1k,LR2,3.791381187387672,3.820165105839913,30s
JPMMC011,PM,1k,LR4,3.327299334058567,3.3875379294649592,29s
JPMMC012,PM,1k,NN1,1.940925998271806,1.9710283144795542,29s
JPMMC013,PM,1k,NN3,1.9938511972060604,2.0274429455834113,33s
JPMMC100,PM,10k,LR2,3.797747061425198,3.8722760675907097,3mn17s
JPMMC101,PM,10k,LR4,3.3404327161157354,3.419161413354556,3mn13s
JPMMC102,PM,10k,NN1,2.203900972145381,2.24166322921289,3mn20s
JPMMC103,PM,10k,NN3,2.0431978657726533,2.0790924915926343,3mn32s
JPMMC110,PM,10k,LR2,3.971700984144189,4.016409539562536,3mn22s
JPMMC111,PM,10k,LR4,3.3871206582729183,3.4501599984294353,3mn21s
JPMMC112,PM,10k,NN1,2.2308140642404357,2.2682880926386924,3mn18s
JPMMC113,PM,10k,NN3,2.041625726801268,2.0764645859019866,3mn28s
JPMMC200,PM,1k,LR2,2.5521810206712594,2.5749547857445583,29s
JPMMC201,PM,1k,LR4,0.9038771153277461,0.9229373843992074,29s
JPMMC202,PM,1k,NN1,1.0581426223374506,1.0665713513735748,29s
JPMMC203,PM,1k,NN3,0.9751290306571045,0.983781614601674,28s
JPMMC210,PM,1k,LR2,2.771193102032366,2.7660156349188743,31s
JPMMC211,PM,1k,LR4,0.9474258854941215,0.9478194910803631,33s
JPMMC212,PM,1k,NN1,0.9863155834568833,0.9958787990181004,32s
JPMMC213,PM,1k,NN3,0.9955546046246976,1.0033505452268647,31s
JPMMC300,PM,10k,LR2,2.480564442879469,2.501646062727795,3mn51s
JPMMC301,PM,10k,LR4,0.7562442730101292,0.7710828741184763,3mn9s
JPMMC302,PM,10k,NN1,0.7765827057760606,0.7863509478498149,4mn1s
JPMMC303,PM,10k,NN3,0.8794709551171531,0.8912147582900674,3mn52s
JPMMC310,PM,10k,LR2,2.730410390377978,2.723843228482664,3mn51s
JPMMC311,PM,10k,LR4,0.9219594958481402,0.9223196616367635,3mn35s
JPMMC312,PM,10k,NN1,0.7746728416014764,0.7842859953260287,3mn28s
JPMMC313,PM,10k,NN3,0.8796799144815165,0.8914648315178276,3mn15s
