Id,Fit. type,Fit. params,Reg. type,MSE train,MSE test,Runtime
GLSMC0,MM,LR2,-,11777.54652972621,11810.428627231753,1s
GLSMC1,MM,LR2,-,25.634508207526885,25.885416125531393,1s
GLSMC2,MM,GLM2,-,11479.976763382932,11490.692448955966,5s
GLSMC3,MM,LR4,-,12078.652924730392,12093.258227319355,1s
GLSMC4,MM,LR4,-,103.25491762174657,93.16192283359565,1s
GLSMC5,MM,GLM4,-,11602.021658843616,11658.949678996725,17s
JLSMC000,MM,LR2,LR2,143.02929898525193,133.25434372073576,2mn42s
JLSMC001,MM,LR2,LR4,60.56499541811357,51.314294956947656,2mn40s
JLSMC002,MM,LR2,NN1,22.507223938052864,20.990238734174252,2mn44s
JLSMC003,MM,LR2,NN3,19.681522911857424,18.753705867187975,2mn46s
JLSMC010,MM,LR2,LR2,145.67757031207833,135.71290505705332,2mn50s
JLSMC011,MM,LR2,LR4,59.944757552682674,51.09361205370264,2mn51s
JLSMC012,MM,LR2,NN1,22.546130337166723,21.01310430396702,3mn13s
JLSMC013,MM,LR2,NN3,19.7015099652231,18.7443265513995,2mn54s
JLSMC100,MM,LR4,LR2,32.209848124599965,31.278074815689564,1mn45s
JLSMC101,MM,LR4,LR4,50.2982121523433,40.63173386952048,1mn52s
JLSMC102,MM,LR4,NN1,17.96749721779079,16.45500407521114,1mn55s
JLSMC103,MM,LR4,NN3,18.532605247956482,17.12478684565715,1mn55s
JLSMC110,MM,LR4,LR2,34.104499239685495,33.170509520360305,2mn22s
JLSMC111,MM,LR4,LR4,50.278538054928106,41.07369654907783,2mn8s
JLSMC112,MM,LR4,NN1,18.432693813435314,17.4063046599669,1mn56s
JLSMC113,MM,LR4,NN3,18.930458085591784,17.842396012998243,1mn55s
JLSMC200,MM,GLM2,LR2,1346.3761459934713,1332.003628794821,17mn39s
JLSMC201,MM,GLM2,LR4,27008.599046373554,25066.20540906711,16mn31s
JLSMC202,MM,GLM2,NN1,1025.396587593143,1034.182897824812,16mn20s
JLSMC203,MM,GLM2,NN3,1049.7836894887168,1058.9136293612655,17mn4s
JLSMC210,MM,GLM2,LR2,1016.5211834052242,1024.5203221649501,19mn36s
JLSMC211,MM,GLM2,LR4,22431.700414818242,20694.67380044237,18mn50s
JLSMC212,MM,GLM2,NN1,1028.1978375520157,1036.5195155399122,17mn7s
JLSMC213,MM,GLM2,NN3,1048.3839062061866,1057.0603196845186,19mn1s
JLSMC300,MM,GLM4,LR2,4025.5020176641947,3579.6932865007047,22mn57s
JLSMC301,MM,GLM4,LR4,13774936.492030006,13412581.161176808,23mn48s
JLSMC302,MM,GLM4,NN1,1484.9407396609117,1486.1359987612814,23mn19s
JLSMC303,MM,GLM4,NN3,1942.5355812624223,1944.5811301554554,22mn33s
JLSMC310,MM,GLM4,LR2,4007.5955388378356,3560.724871031226,22mn39s
JLSMC311,MM,GLM4,LR4,13774926.380677054,13412571.95549487,24mn27s
JLSMC312,MM,GLM4,NN1,1481.2237162486272,1482.7208053412303,22mn34s
JLSMC313,MM,GLM4,NN3,1941.7759930874417,1944.0639169525305,23mn45s
JPMMC000,PM,1k,LR2,8.263213504991242,8.217946751689203,4mn47s
JPMMC001,PM,1k,LR4,8.207515096326961,7.793867325268525,4mn49s
JPMMC002,PM,1k,NN1,35.11500258149767,35.192464945851384,4mn55s
JPMMC003,PM,1k,NN3,22.655842135915172,22.630089942163977,5mn19s
JPMMC010,PM,1k,LR2,8.76083330446675,8.71962306581316,5mn15s
JPMMC011,PM,1k,LR4,7.137056062160998,7.140357996644063,5mn41s
JPMMC012,PM,1k,NN1,35.05962547394659,35.15858001677332,4mn56s
JPMMC013,PM,1k,NN3,22.509595651708683,22.42942869838983,5mn23s
JPMMC100,PM,10k,LR2,3.5634261279515074,3.4642057041965906,14mn23s
JPMMC101,PM,10k,LR4,2.6359013632488,2.200634620282873,12mn25s
JPMMC102,PM,10k,NN1,5.970857987225668,5.976557404354053,12mn19s
JPMMC103,PM,10k,NN3,4.399066012412917,4.3494352120668704,13mn35s
JPMMC110,PM,10k,LR2,3.8406323523722765,3.7370784458394337,16mn15s
JPMMC111,PM,10k,LR4,2.197555857096773,2.163568313980028,16mn32s
JPMMC112,PM,10k,NN1,5.985197048902248,5.971477943746469,16mn1s
JPMMC113,PM,10k,NN3,4.305193248530326,4.2685531745637615,15mn7s
JPMMC200,PM,1k,LR2,4.603540846204537,4.514514704004144,5mn4s
JPMMC201,PM,1k,LR4,5.589651330433671,5.002757662828772,4mn20s
JPMMC202,PM,1k,NN1,84.61300160347203,83.9551331835259,4mn27s
JPMMC203,PM,1k,NN3,46.42736939554611,45.84989148546425,4mn27s
JPMMC210,PM,1k,LR2,4.688965643144015,4.640023154519426,4mn35s
JPMMC211,PM,1k,LR4,4.038382925158116,4.01071065980185,4mn34s
JPMMC212,PM,1k,NN1,83.46081718697312,83.6089522682225,4mn33s
JPMMC213,PM,1k,NN3,50.17873333286232,49.32341987586457,4mn30s
JPMMC300,PM,10k,LR2,3.373890440377789,3.307129689678387,13mn11s
JPMMC301,PM,10k,LR4,3.10460431548307,2.6642109450439033,12mn44s
JPMMC302,PM,10k,NN1,20.24553765959595,19.4431292361065,12mn23s
JPMMC303,PM,10k,NN3,13.945040940104505,13.461819208605608,12mn15s
JPMMC310,PM,10k,LR2,3.7667088091825063,3.7259203233990705,12mn31s
JPMMC311,PM,10k,LR4,2.462848082235035,2.4522395985232013,12mn27s
JPMMC312,PM,10k,NN1,19.148557097978085,18.200058686987095,12mn33s
JPMMC313,PM,10k,NN3,14.382125588952805,13.944553909165615,13mn49s
