Id,Architecture,Optimizer,Iterations,MSE train,MSE test,Runtime
ML0,1|4,sgd|0.01,15|1024,69.98793192890003,52.75204814186258,4mn18s
ML1,1|10,adam|0.01,20|1024,45.38390582472792,41.86827859560843,5mn30s
ML2,1|8,adam|0.0005,20|512,22.212632137237215,19.545170825325492,10mn19s
ML3,1|16,adam|0.001,30|256,56.46864206436489,50.521709131450585,10mn55s
ML4,2|32,adam|0.0005,50|128,16.890778993566034,16.344004756827005,20mn1s
ML5,2|64,adam|0.00030000000000000003,25|64,23.919029848513844,22.55463659294575,17mn52s
ML6,1|128,sgd|0.01,20|256,70.862354113968,67.17157976146684,6mn56s
ML7,1|4,adam|0.001,30|2048,17.444582301174556,17.13453709533829,8mn56s
ML8,2|4,sgd|0.05,40|256,460.12158434303984,499.9733617923423,8mn44s
ML9,2|10,adam|0.001,40|512,18.83451189592403,17.372577596454555,9mn43s
